SYMBOL,COMPANY NAME,MARKET CAP,MARKET CAP CATEGORY,EXCHANGE,KITE_ID,SHOONYA_TOKEN
RVNL,Rail Vikas Nigam Limited,97026.40845,Large Cap,NSE,2445313,9552
DABUR,Dabur India Limited,96883.33025,Mid Cap,NSE,197633,772
MAXHEALTH,Max Healthcare Institute Limited,96551.98024,Mid Cap,NSE,5728513,22377
POLYCAB,Polycab India Limited,96163.98746,Mid Cap,NSE,2455041,9590
SOLARINDS,Solar Industries India Limited,95426.77955,Mid Cap,NSE,3412993,13332
ICICIGI,ICICI Lombard General Insurance Company Limited,95391.14107,Mid Cap,NSE,5573121,21770
CANBK,Canara Bank,93754.24184,Mid Cap,NSE,2763265,10794
HDFCAMC,HDFC Asset Management Company Limited,93707.67196,Mid Cap,NSE,1086465,4244
SUZLON,Suzlon Energy Limited,93062.16858,Mid Cap,NSE,3076609,12018
JINDALSTEL,Jindal Steel & Power Limited,92982.58166,Mid Cap,NSE,1723649,6733
SHREECEM,SHREE CEMENT LIMITED,91469.44717,Mid Cap,NSE,794369,3103
INDUSTOWER,Indus Towers Limited,90465.43565,Mid Cap,NSE,7458561,29135
IDBI,IDBI Bank Limited,90029.85062,Mid Cap,NSE,377857,1476
UNIONBANK,Union Bank of India,89068.96179,Mid Cap,NSE,2752769,10753
TORNTPOWER,Torrent Power Limited,87863.99724,Mid Cap,NSE,3529217,13786
TIINDIA,Tube Investments of India Limited,86360.17541,Mid Cap,NSE,79873,312
PERSISTENT,Persistent Systems Limited,86092.42808,Mid Cap,NSE,4701441,18365
GMRINFRA,GMR Airports Infrastructure Limited,85295.53654,Mid Cap,NSE,3463169,13528
DIXON,Dixon Technologies (India) Limited,84821.96685,Mid Cap,NSE,5552641,21690
MARICO,Marico Limited,84217.14166,Mid Cap,NSE,1041153,4067
COLPAL,Colgate Palmolive (India) Limited,84131.82034,Mid Cap,NSE,3876097,15141
NHPC,NHPC Limited,82399.1337,Mid Cap,NSE,4454401,17400
BHEL,Bharat Heavy Electricals Limited,82385.54153,Mid Cap,NSE,112129,438
INDUSINDBK,IndusInd Bank Limited,82292.82775,Mid Cap,NSE,1346049,5258
MAZDOCK,Mazagon Dock Shipbuilders Limited,82137.24529,Mid Cap,NSE,130305,509
AUROPHARMA,Aurobindo Pharma Limited,81611.39098,Mid Cap,NSE,70401,275
HINDPETRO,Hindustan Petroleum Corporation Limited,80357.12369,Mid Cap,NSE,359937,1406
GODREJPROP,Godrej Properties Limited,79905.28573,Mid Cap,NSE,4576001,17875
INDIANB,Indian Bank,79214.71324,Mid Cap,NSE,3663105,14309
MUTHOOTFIN,Muthoot Finance Limited,79028.19123,Mid Cap,NSE,6054401,23650
ATGL,Adani Total Gas Limited,78603.95704,Mid Cap,NSE,1552897,6066
POLICYBZR,PB Fintech Limited,77403.86181,Mid Cap,NSE,1703937,6656
OIL,Oil India Limited,76645.86588,Mid Cap,NSE,4464129,17438
BHARTIHEXA,Bharti Hexacom Limited,71452.50488,Mid Cap,NSE,6013185,23489
