segment,name,exchange,instrument_type,instrument_key,lot_size,freeze_quantity,exchange_token,tick_size,trading_symbol,qty_multiplier,isin,security_type,mtf_enabled,mtf_bracket,short_name
NSE_EQ,DALMIA BHARAT SUG IN LTD,NSE,EQ,NSE_EQ|INE495A01022,1.0,100000.0,781,5.0,DALMIASUG,1.0,INE495A01022,NORMAL,True,35.0,Dalmia Bharat Sug In
NSE_EQ,GODREJ CONSUMER PRODUCTS,NSE,EQ,NSE_EQ|INE102D01028,1.0,100000.0,10099,10.0,GODREJCP,1.0,INE102D01028,NORMAL,True,26.77,Godrej Consumer Products
NSE_EQ,DR. LAL PATH LABS LTD.,NSE,EQ,NSE_EQ|INE600L01024,1.0,100000.0,11654,10.0,LALPATHLAB,1.0,INE600L01024,NORMAL,True,28.01,Dr. Lal Path Labs
NSE_EQ,MOREPEN LAB. LTD,NSE,EQ,NSE_EQ|INE083A01026,1.0,100000.0,2259,1.0,MOREPENLAB,1.0,INE083A01026,NORMAL,True,35.47,Morepen Labs
NSE_EQ,PARADEEP PHOSPHATES LTD,NSE,EQ,NSE_EQ|INE088F01024,1.0,100000.0,9741,1.0,PARADEEP,1.0,INE088F01024,NORMAL,True,37.34,Paradeep Phosphates
NSE_EQ,RELCAPAMC - NETFGILT5Y,NSE,EQ,NSE_EQ|INF204KC1030,1.0,100000.0,3172,1.0,GILT5YBEES,1.0,INF204KC1030,NORMAL,True,25.0,Reliance Chemotex Ind
NSE_EQ,RELCAPAMC-NETFSDL26,NSE,EQ,NSE_EQ|INF204KC1022,1.0,100000.0,3022,1.0,SDL26BEES,1.0,INF204KC1022,NORMAL,True,25.0,RELCAPAMC-NETFSDL26
NSE_EQ,POWER FIN CORP LTD.,NSE,EQ,NSE_EQ|INE134E01011,1.0,100000.0,14299,5.0,PFC,1.0,INE134E01011,NORMAL,True,31.11,Power Finance Corp
NSE_EQ,NIPPONAMC - NETFPHARMA,NSE,EQ,NSE_EQ|INF204KC1089,1.0,100000.0,4973,1.0,PHARMABEES,1.0,INF204KC1089,NORMAL,True,26.5,Nippon AMC - NETF Pharma
NSE_EQ,SONATA SOFTWARE LTD,NSE,EQ,NSE_EQ|INE269A01021,1.0,100000.0,6596,5.0,SONATSOFTW,1.0,INE269A01021,NORMAL,True,34.42,Sonata Software
NSE_EQ,ARKADE DEVELOPERS LIMITED,NSE,EQ,NSE_EQ|INE0QRL01017,1.0,100000.0,25398,1.0,ARKADE,1.0,INE0QRL01017,NORMAL,True,35.0,
NSE_EQ,INFOSYS LIMITED,NSE,EQ,NSE_EQ|INE009A01021,1.0,100000.0,1594,10.0,INFY,1.0,INE009A01021,NORMAL,True,27.35,Infosys
NSE_EQ,IRCON INTERNATIONAL LTD,NSE,EQ,NSE_EQ|INE962Y01021,1.0,100000.0,4986,1.0,IRCON,1.0,INE962Y01021,NORMAL,True,35.98,Ircon International
NSE_EQ,S H KELKAR AND CO. LTD.,NSE,EQ,NSE_EQ|INE500L01026,1.0,100000.0,11212,1.0,SHK,1.0,INE500L01026,NORMAL,True,35.95,S H Kelkar and Co.
NSE_EQ,NAVIN FLUORINE INT. LTD,NSE,EQ,NSE_EQ|INE048G01026,1.0,100000.0,14672,50.0,NAVINFLUOR,1.0,INE048G01026,NORMAL,True,30.53,Navin Fluorine
NSE_EQ,SANOFI CONS HEALTHC IND L,NSE,EQ,NSE_EQ|INE0UOS01011,1.0,100000.0,25222,10.0,SANOFICONR,1.0,INE0UOS01011,NORMAL,True,35.0,
NSE_EQ,GREAVES COTTON LTD.,NSE,EQ,NSE_EQ|INE224A01026,1.0,100000.0,1235,1.0,GREAVESCOT,1.0,INE224A01026,NORMAL,True,35.46,Greaves Cotton
NSE_EQ,KOTAKMAMC - NEXT50ETF,NSE,EQ,NSE_EQ|INF174KA1YO3,1.0,100000.0,760709,1.0,NEXT50ETF,1.0,INF174KA1YO3,NORMAL,True,25.0,
NSE_EQ,KOTAK GOLD ETF,NSE,EQ,NSE_EQ|INF174KA1HJ8,1.0,100000.0,14858,1.0,GOLD1,1.0,INF174KA1HJ8,NORMAL,True,28.71,Kotak Gold ETF
NSE_EQ,KAYNES TECHNOLOGY IND LTD,NSE,EQ,NSE_EQ|INE918Z01012,1.0,100000.0,12092,10.0,KAYNES,1.0,INE918Z01012,NORMAL,True,38.82,Kaynes Technology
NSE_EQ,BIOCON LIMITED.,NSE,EQ,NSE_EQ|INE376G01013,1.0,100000.0,11373,5.0,BIOCON,1.0,INE376G01013,NORMAL,True,29.64,Biocon
NSE_EQ,MISHRA DHATU NIGAM LTD,NSE,EQ,NSE_EQ|INE099Z01011,1.0,100000.0,2463,5.0,MIDHANI,1.0,INE099Z01011,NORMAL,True,35.77,MIDHANI
NSE_EQ,KOTAKMAMC - KOTAKIT,NSE,EQ,NSE_EQ|INF174KA1GC5,1.0,100000.0,2627,1.0,IT,1.0,INF174KA1GC5,NORMAL,True,26.5,Kotak Mahindra AMC - Kotak IT
NSE_EQ,STRLNG & WIL REN ENE LTD,NSE,EQ,NSE_EQ|INE00M201021,1.0,100000.0,12489,1.0,SWSOLAR,1.0,INE00M201021,NORMAL,True,36.01,STERLING & WILSON SOLAR
NSE_EQ,PATANJALI FOODS LIMITED,NSE,EQ,NSE_EQ|INE619A01035,1.0,100000.0,17029,5.0,PATANJALI,1.0,INE619A01035,NORMAL,True,28.18,
NSE_EQ,BLACK BOX LIMITED,NSE,EQ,NSE_EQ|INE676A01027,1.0,100000.0,3435,5.0,BBOX,1.0,INE676A01027,NORMAL,True,36.43,Black Box
NSE_EQ,BHARAT FORGE LTD,NSE,EQ,NSE_EQ|INE465A01025,1.0,100000.0,422,10.0,BHARATFORG,1.0,INE465A01025,NORMAL,True,29.83,Bharat Forge
NSE_EQ,NLC INDIA LIMITED,NSE,EQ,NSE_EQ|INE589A01014,1.0,100000.0,8585,5.0,NLCINDIA,1.0,INE589A01014,NORMAL,True,33.12,NLC India
NSE_EQ,BERGER PAINTS (I) LTD,NSE,EQ,NSE_EQ|INE463A01038,1.0,100000.0,404,5.0,BERGEPAINT,1.0,INE463A01038,NORMAL,True,27.02,Berger Paints
NSE_EQ,EPACK DURABLE LIMITED,NSE,EQ,NSE_EQ|INE0G5901015,1.0,100000.0,22463,1.0,EPACK,1.0,INE0G5901015,NORMAL,True,36.65,
NSE_EQ,QUESS CORP LIMITED,NSE,EQ,NSE_EQ|INE615P01015,1.0,100000.0,17704,1.0,QUESS,1.0,INE615P01015,NORMAL,True,35.0,Quess Corp
NSE_EQ,NIP IND ETF JUNIOR BEES,NSE,EQ,NSE_EQ|INF732E01045,1.0,100000.0,10939,1.0,JUNIORBEES,1.0,INF732E01045,NORMAL,True,25.0,NIP ETF Junior Bees
NSE_EQ,NIP IND ETF LIQUID BEES,NSE,EQ,NSE_EQ|INF732E01037,1.0,100000.0,11006,1.0,LIQUIDBEES,1.0,INF732E01037,NORMAL,True,25.0,NIP ETF Liquid Bees
NSE_EQ,ACME SOLAR HOLDINGS LTD,NSE,EQ,NSE_EQ|INE622W01025,1.0,100000.0,27061,1.0,ACMESOLAR,1.0,INE622W01025,NORMAL,True,32.66,
NSE_EQ,PTC INDIA LIMITED,NSE,EQ,NSE_EQ|INE877F01012,1.0,100000.0,11355,1.0,PTC,1.0,INE877F01012,NORMAL,True,35.0,PTC India
NSE_EQ,NITCO LIMITED,NSE,EQ,NSE_EQ|INE858F01012,1.0,100000.0,13300,1.0,NITCO,1.0,INE858F01012,NORMAL,True,38.0,Nitco
NSE_EQ,ZEE ENTERTAINMENT ENT LTD,NSE,EQ,NSE_EQ|INE256A01028,1.0,100000.0,3812,1.0,ZEEL,1.0,INE256A01028,NORMAL,True,34.53,Zee Entertainment Enterprises
NSE_EQ,ADOR WELDING LTD,NSE,EQ,NSE_EQ|INE045A01017,1.0,100000.0,34,10.0,ADOR,1.0,INE045A01017,NORMAL,True,35.0,Ador Welding
NSE_EQ,ALKEM LABORATORIES LTD.,NSE,EQ,NSE_EQ|INE540L01014,1.0,100000.0,11703,50.0,ALKEM,1.0,INE540L01014,NORMAL,True,26.5,Alkem Laboratories
NSE_EQ,NIP IND ETF INFRA BEES,NSE,EQ,NSE_EQ|INF732E01268,1.0,100000.0,20072,1.0,INFRABEES,1.0,INF732E01268,NORMAL,True,26.5,NIP ETF Infra Bees
NSE_EQ,TEGA INDUSTRIES LIMITED,NSE,EQ,NSE_EQ|INE011K01018,1.0,100000.0,7105,10.0,TEGA,1.0,INE011K01018,NORMAL,True,35.0,Tega Industries
